yearID,teamID,Batting Average
2018,ARI,0.11115778760955865
2018,ATL,0.14252293616805276
2018,BAL,0.11690983538315793
2018,BOS,0.12365929442406759
2018,CHA,0.1089113417565263
2018,CHN,0.1423012805295053
2018,CIN,0.12054600494553624
2018,CLE,0.12414198277156192
2018,COL,0.14501536245124433
2018,DET,0.10105361737091129
2018,HOU,0.1199527405193286
2018,KCA,0.1314615022192274
2018,LAA,0.10837740862540604
2018,LAN,0.13271806090034588
2018,MIA,0.13513388322667744
2018,MIL,0.16312276274961168
2018,MIN,0.12184351537074724
2018,NYA,0.1092457973824188
2018,NYN,0.129987624542582
2018,OAK,0.10122286543817656
2018,PHI,0.12182714931259458
2018,PIT,0.16626172452107468
2018,SDN,0.11012579791483729
2018,SEA,0.131507324067817
2018,SFN,0.15369947544249796
2018,SLN,0.13168853066948044
2018,TBA,0.14093445027285412
2018,TEX,0.09524952028074785
2018,TOR,0.1319675517643385
2018,WAS,0.12883079187997615
2019,ARI,0.13532373900242262
2019,ATL,0.11160639760077286
2019,BAL,0.10431615044578027
2019,BOS,0.11309831758234279
2019,CHA,0.11243306438439342
2019,CHN,0.12417823239528934
2019,CIN,0.17049519899841276
2019,CLE,0.10172031439203012
2019,COL,0.1299433757459354
2019,DET,0.12114179257848266
