team,year,salary
ARI,2019,62990590
ARI,2020,20167910
ARI,2021,65782480
ATL,2019,115629465
ATL,2020,50392877
ATL,2021,104662952
BAL,2019,51471496
BAL,2020,10186863
BAL,2021,20556843
BOS,2019,163861035
BOS,2020,35983017
BOS,2021,120716005
CHA,2019,66747887
CHA,2020,42914180
CHA,2021,91532367
CHN,2019,196000476
CHN,2020,66076009
CHN,2021,137973667
CIN,2019,83437362
CIN,2020,51806648
CIN,2021,89761594
CLE,2019,82518676
CLE,2020,34294558
CLE,2021,38698124
COL,2019,119385328
COL,2020,23899833
COL,2021,85428344
DET,2019,72053266
DET,2020,29576998
DET,2021,65698379
HOU,2019,154064539
HOU,2020,60893762
HOU,2021,153899028
KCA,2019,67555916
KCA,2020,25214058
KCA,2021,83924145
LAA,2019,112991363
LAA,2020,56490745
LAA,2021,59237446
LAN,2019,155897747
LAN,2020,76953189
LAN,2021,153292430
MIA,2019,66005960
MIA,2020,14541262
MIA,2021,42215854
MIL,2019,105372018
MIL,2020,28328474
MIL,2021,58607106
MIN,2019,94602227
MIN,2020,44784585
MIN,2021,113793211
NYA,2019,169823113
NYA,2020,77116014
NYA,2021,143347870
NYN,2019,103028613
NYN,2020,46289920
NYN,2021,152205673
OAK,2019,77230719
OAK,2020,35193540
OAK,2021,69588634
PHI,2019,81005709
PHI,2020,56965226
PHI,2021,147337060
PIT,2019,27083252
PIT,2020,12713858
PIT,2021,24678097
SDN,2019,64258134
SDN,2020,54110939
SDN,2021,119109393
SEA,2019,83593815
SEA,2020,24742034
SEA,2021,68190000
SFN,2019,135835198
SFN,2020,40390889
SFN,2021,108298150
SLN,2019,133572738
SLN,2020,51533580
SLN,2021,114193480
TBA,2019,51703366
TBA,2020,21679128
TBA,2021,39340356
TEX,2019,84943491
TEX,2020,30824716
TEX,2021,46407902
TOR,2019,35746032
TOR,2020,33401637
TOR,2021,105923823
WAS,2019,153637198
WAS,2020,45615023
WAS,2021,120088644
