team,year,AB,H,AVG,salary
ARI,2019,5633,1419,0.25190839694656486,62990590
ARI,2020,1997,482,0.24136204306459688,20167910
ARI,2021,5489,1297,0.23629076334487156,65782480
ATL,2019,5560,1432,0.25755395683453236,115629465
ATL,2020,2074,556,0.26808100289296044,50392877
ATL,2021,5363,1307,0.24370688047734476,104662952
BAL,2019,5596,1379,0.24642601858470337,51471496
BAL,2020,2026,523,0.2581441263573544,10186863
BAL,2021,5420,1296,0.23911439114391145,20556843
BOS,2019,5770,1554,0.26932409012131714,163861035
BOS,2020,2083,552,0.2650024003840615,35983017
BOS,2021,5495,1434,0.26096451319381253,120716005
CHA,2019,5529,1443,0.2609875203472599,66747887
CHA,2020,2047,534,0.2608695652173913,42914180
CHA,2021,5357,1373,0.25630016800448013,91532367
CHN,2019,5461,1378,0.252334737227614,196000476
CHN,2020,1918,422,0.22002085505735142,66076009
CHN,2021,5306,1255,0.23652468903128535,137973667
CIN,2019,5450,1328,0.2436697247706422,83437362
CIN,2020,1842,390,0.21172638436482086,51806648
CIN,2021,5423,1352,0.249308500829799,89761594
CLE,2019,5425,1354,0.2495852534562212,82518676
CLE,2020,1959,446,0.2276671771311894,34294558
CLE,2021,5332,1269,0.23799699924981246,38698124
COL,2019,5660,1502,0.2653710247349823,119385328
COL,2020,2057,528,0.25668449197860965,23899833
COL,2021,5374,1338,0.24897655377744696,85428344
DET,2019,5549,1333,0.24022346368715083,72053266
DET,2020,1893,463,0.2445853143159007,29576998
DET,2021,5376,1299,0.24162946428571427,65698379
HOU,2019,5613,1538,0.27400676999821844,154064539
HOU,2020,1992,478,0.2399598393574297,60893762
HOU,2021,5593,1496,0.2674772036474164,153899028
KCA,2019,5496,1356,0.24672489082969432,67555916
KCA,2020,1988,485,0.24396378269617705,25214058
KCA,2021,5427,1349,0.24857195503961674,83924145
LAA,2019,5542,1368,0.2468422952002887,112991363
LAA,2020,2020,501,0.24801980198019802,56490745
LAA,2021,5437,1331,0.24480411991907303,59237446
LAN,2019,5493,1414,0.2574185326779538,155897747
LAN,2020,2042,523,0.25612144955925564,76953189
LAN,2021,5445,1330,0.24426078971533516,153292430
MIA,2019,5512,1326,0.24056603773584906,66005960
MIA,2020,1935,472,0.24392764857881136,14541262
MIA,2021,5348,1244,0.23261032161555723,42215854
MIL,2019,5542,1366,0.24648141465175027,105372018
MIL,2020,1920,429,0.2234375,28328474
MIL,2021,5362,1251,0.23330846698992913,58607106
MIN,2019,5732,1547,0.2698883461270063,94602227
MIN,2020,1937,468,0.24161073825503357,44784585
MIN,2021,5431,1311,0.24139200883815135,113793211
NYA,2019,5583,1493,0.2674189503850976,169823113
NYA,2020,1915,473,0.24699738903394255,77116014
NYA,2021,5331,1266,0.23747889701744512,143347870
NYN,2019,5624,1445,0.25693456614509247,103028613
NYN,2020,2023,551,0.2723677706376668,46289920
NYN,2021,5210,1243,0.23857965451055663,152205673
OAK,2019,5561,1384,0.24887610142060781,77230719
OAK,2020,1908,430,0.22536687631027252,35193540
OAK,2021,5395,1284,0.23799814643188136,69588634
PHI,2019,5571,1369,0.24573685155268354,81005709
PHI,2020,1948,500,0.25667351129363447,56965226
PHI,2021,5366,1288,0.24002981736861723,147337060
PIT,2019,5657,1497,0.26462789464380415,27083252
PIT,2020,1932,425,0.21997929606625258,12713858
PIT,2021,5336,1261,0.2363193403298351,24678097
SDN,2019,5391,1281,0.2376182526432944,64258134
SDN,2020,1972,506,0.2565922920892495,54110939
SDN,2021,5384,1305,0.2423848439821694,119109393
SEA,2019,5500,1305,0.23727272727272727,83593815
SEA,2020,1929,435,0.2255054432348367,24742034
SEA,2021,5355,1209,0.2257703081232493,68190000
SFN,2019,5579,1332,0.23875246459939056,135835198
SFN,2020,2019,532,0.26349678058444775,40390889
SFN,2021,5462,1360,0.24899304284145002,108298150
SLN,2019,5449,1336,0.2451826023123509,133572738
SLN,2020,1752,410,0.23401826484018265,51533580
SLN,2021,5351,1303,0.24350588675014015,114193480
TBA,2019,5628,1427,0.2535536602700782,51703366
TBA,2020,1975,470,0.2379746835443038,21679128
TBA,2021,5507,1336,0.2426003268567278,39340356
TEX,2019,5540,1374,0.248014440433213,84943491
TEX,2020,1936,420,0.21694214876033058,30824716
TEX,2021,5405,1254,0.23200740055504163,46407902
TOR,2019,5493,1299,0.2364827962861824,35746032
TOR,2020,2023,516,0.2550667325753831,33401637
TOR,2021,5476,1455,0.26570489408327247,105923823
WAS,2019,5512,1460,0.2648766328011611,153637198
WAS,2020,1968,519,0.26371951219512196,45615023
WAS,2021,5385,1388,0.257753017641597,120088644
