,team,tavg,wspd,prcp
0,LAA,20.4,6.985714285714286,6.542857142857143
1,ARI,29.428571428571427,11.528571428571428,16.428571428571427
2,ATL,21.314285714285717,7.871428571428572,98.47142857142858
3,BAL,20.04285714285714,10.171428571428573,96.0
4,BOS,17.714285714285715,16.8,139.28571428571428
5,CHN,18.471428571428568,15.285714285714288,74.05714285714285
6,CHA,18.471428571428568,15.285714285714288,74.05714285714285
7,CIN,18.257142857142856,8.871428571428572,100.45714285714287
8,CLE,18.285714285714285,15.799999999999999,82.72857142857143
9,COL,15.985714285714286,14.12857142857143,82.55714285714285
10,DET,18.02857142857143,12.428571428571429,80.35714285714286
11,MIA,26.328571428571426,13.142857142857142,137.0
12,HOU,25.271428571428572,12.1,134.85714285714286
13,KCA,20.557142857142857,13.700000000000001,98.11428571428573
14,LAN,19.457142857142856,4.2,5.8
15,MIL,17.02857142857143,14.657142857142858,52.42857142857143
16,MIN,16.857142857142854,12.37142857142857,63.65714285714285
17,WAS,20.857142857142858,13.342857142857143,118.57142857142857
18,NYN,18.400000000000002,11.614285714285714,120.12857142857145
19,NYA,18.528571428571432,11.085714285714285,120.55714285714286
20,OAK,15.414285714285715,16.1,5.928571428571429
21,PHI,19.657142857142862,13.85714285714286,111.42857142857143
22,PIT,17.057142857142857,10.771428571428572,99.0
23,SLN,19.828571428571426,10.071428571428571,112.85714285714288
24,SDN,19.900000000000002,9.771428571428572,8.714285714285714
25,SFN,15.599999999999998,16.1,5.928571428571429
26,SEA,15.37142857142857,8.671428571428573,37.4
27,TBA,26.3,14.299999999999999,100.07142857142857
28,TEX,23.75714285714286,12.157142857142858,115.57142857142857
29,TOR,14.957142857142857,13.866666666666667,76.17142857142858
